109.237.97.180 [11-02-2023 01:36:12] GET [200] /.env - (0.763 ms)
79.124.58.130 [11-02-2023 03:39:44] GET [200] /rest/api/latest/repos - (0.560 ms)
192.241.193.77 [11-02-2023 09:48:02] GET [200] /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f - (0.677 ms)
109.237.98.226 [11-02-2023 09:56:20] GET [200] /.env - (0.748 ms)
152.89.196.211 [11-02-2023 16:11:29] GET [200] /actuator/gateway/routes - (0.658 ms)
79.124.58.130 [11-02-2023 17:56:39] POST [200] /service/extension/backup/mboximport?account-name=admin&append=1&no-switch=1&ow=2 - (2.077 ms)
79.124.58.130 [11-02-2023 17:57:03] GET [200] /zimbraAdmin/0MVzAe6pgwe5go1D.jsp - (0.483 ms)
79.124.58.130 [11-02-2023 17:57:26] POST [200] /service/extension/backup/mboximport?account-name=admin&account-status=1&ow=cmd - (0.574 ms)
79.124.58.130 [11-02-2023 17:57:48] GET [200] /zimbraAdmin/0MVzAe6pgwe5go1D.jsp - (0.470 ms)
79.124.58.130 [11-02-2023 17:58:00] POST [200] /https://141.147.37.152/xmlrpc - (1.080 ms)
79.124.58.130 [11-02-2023 17:58:24] POST [200] /https://141.147.37.152:8282/xmlrpc - (0.726 ms)
79.124.58.130 [11-02-2023 17:58:47] POST [200] /https://141.147.37.152:9292/xmlrpc - (0.785 ms)
79.124.58.130 [11-02-2023 17:59:10] POST [200] /https://141.147.37.152:7272/xmlrpc - (0.866 ms)
183.136.225.32 [11-02-2023 20:30:55] GET [200] /robots.txt - (0.528 ms)
68.183.146.84 [11-02-2023 22:20:02] GET [200] /ab2g - (0.678 ms)
68.183.146.84 [11-02-2023 22:20:03] GET [200] /ab2h - (0.499 ms)
