128.1.248.26 [21-02-2023 00:33:20] GET [200] /Telerik.Web.UI.WebResource.axd?type=rau - (0.768 ms)
128.14.133.58 [21-02-2023 03:59:20] GET [200] /remote/login - (0.666 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /.git/config - (2.434 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /.git;/config - (3.048 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /static../.git/config - (28.137 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /js../.git/config - (30.627 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /css../.git/config - (8.301 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /assets../.git/config - (8.373 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /content../.git/config - (8.240 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /images../.git/config - (8.266 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /img../.git/config - (6.693 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /media../.git/config - (5.480 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /lib../.git/config - (5.563 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /public../.git/config - (4.652 ms)
51.15.27.89 [21-02-2023 08:15:14] GET [200] /.git;/config - (0.511 ms)
152.89.196.211 [21-02-2023 08:41:35] GET [200] /actuator/gateway/routes - (0.653 ms)
192.241.234.12 [21-02-2023 09:54:16] GET [200] /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f - (0.649 ms)
159.65.153.78 [21-02-2023 11:15:48] GET [200] /ab2g - (0.665 ms)
159.65.153.78 [21-02-2023 11:15:49] GET [200] /ab2h - (0.483 ms)
159.65.153.78 [21-02-2023 11:15:54] GET [200] /t4 - (0.498 ms)
138.246.253.24 [21-02-2023 22:37:01] GET [200] /robots.txt 2698 (0.647 ms)
109.237.97.180 [21-02-2023 23:21:23] GET [200] /.env - (0.843 ms)
