[05-03-2023 02:14:38] 128.14.141.34 GET [200] /cgi-bin/config.exp - (0.541 ms)
[05-03-2023 03:45:42] 45.134.144.119 GET [200] ///remote/fgt_lang?lang=/../../../..//////////dev/ - (0.583 ms)
[05-03-2023 04:02:33] 185.180.143.140 GET [200] /webfig/ - (0.535 ms)
[05-03-2023 04:03:17] 185.180.143.140 GET [200] /solr/ - (0.474 ms)
[05-03-2023 04:03:26] 161.35.3.156 GET [200] /ab2h - (0.474 ms)
[05-03-2023 04:03:30] 161.35.3.156 GET [200] /t4 - (0.460 ms)
[05-03-2023 04:03:41] 185.180.143.140 GET [200] /owa/ - (0.482 ms)
[05-03-2023 04:03:42] 185.180.143.140 GET [200] /autodiscover/autodiscover.json?a..foo.var/owa/?&Email=autodiscover/autodiscover.json?a..foo.var&Protocol=XYZ&FooProtocol=%50owershell - (0.459 ms)
[05-03-2023 04:03:55] 185.180.143.140 GET [200] /admin/ - (0.481 ms)
[05-03-2023 07:37:00] 192.241.200.29 GET [200] /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application - (0.608 ms)
[05-03-2023 07:38:44] 107.170.192.16 GET [200] /owa/auth/logon.aspx - (0.481 ms)
[05-03-2023 07:39:33] 198.199.117.207 GET [200] /owa/auth/x.js - (0.577 ms)
[05-03-2023 07:51:10] 192.241.238.12 GET [200] /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f - (0.585 ms)
[05-03-2023 08:13:25] 37.120.159.165 GET [200] /.env - (0.695 ms)
[05-03-2023 08:13:26] 37.120.159.165 POST [200] / - (0.937 ms)
[05-03-2023 11:22:13] 152.89.196.211 GET [200] /actuator/gateway/routes - (0.530 ms)
[05-03-2023 12:36:55] 192.241.195.99 GET [200] /actuator/health - (0.617 ms)
[05-03-2023 15:11:25] 178.79.139.171 GET [200] /nmaplowercheck1678025485 2698 (2.252 ms)
[05-03-2023 15:11:25] 178.79.139.171 GET [200] /Portal0000.htm 2698 (0.350 ms)
[05-03-2023 15:11:25] 178.79.139.171 POST [200] /scripts/WPnBr.dll 2698 (2.530 ms)
[05-03-2023 15:11:25] 178.79.139.171 GET [200] /menu.shtml 2698 (2.872 ms)
[05-03-2023 15:11:25] 178.79.139.171 GET [200] /gDy8 2698 (2.848 ms)
[05-03-2023 15:11:25] 178.79.139.171 GET [200] /.git/HEAD 2698 (2.942 ms)
[05-03-2023 15:11:25] 178.79.139.171 GET [200] /NmapUpperCheck1678025485 2698 (0.754 ms)
[05-03-2023 15:11:25] 178.79.139.171 GET [200] /__Additional 2698 (1.302 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /localstart.jsp 2698 (0.430 ms)
[05-03-2023 15:11:26] 178.79.139.171 POST [200] /sdk 2698 (1.024 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /Portal/Portal.mwsl 2698 (0.352 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /Nmap/folder/check1678025485 2698 (3.067 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /CSS/Miniweb.css 2698 (3.340 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /localstart.cgi 2698 (0.381 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /home.jsp 2698 (0.421 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /main.php 2698 (0.453 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /start.cfm 2698 (1.271 ms)
[05-03-2023 15:11:26] 178.79.139.171 GET [200] /indice.jsp 2698 (0.445 ms)
[05-03-2023 15:11:27] 178.79.139.171 GET [200] /index.jsa 2698 (0.448 ms)
